Fiscal Year,Requirement Title,Requirement Description,Office Symbol,New Requirement,Incumbent Contractor,Past Competition,Length of Performance,Target Award Fiscal Year Quarter,Estimated Value,Place of Performance,Point of Contact Name,Facility Security Clearance,NAICS Code,Estimated Value Lower,Estimated Value Upper
FY19,,STATE POLICE - EQUIPMENT TO MEET CERTIFICATION REQUIREMENTS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$500K and <$1M,MEXICO,Amy Kara,,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,500000.0,1000000.0
FY19,,JUSTICE SECTOR THIRD PARTY CONTRACTORS JSRP ADVISORS TPC,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$500K and <$1M,HONDURAS,Amy Kara,,611430 - Professional and Management Development Training,500000.0,1000000.0
FY19,,COMPUTER EQUIPMENT,INL/WHP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$500K and <$1M,HONDURAS,Amy Kara,,334111 - Electronic Computer Manufacturing,500000.0,1000000.0
FY19,,VEHICLES FOR INL PROGRAMS,INL/WHP,New,,New Procurement,Less than 12 Months,Quarter 4 (Jul-Sep),>$500K and <$1M,EL SAVADOR,Anthony Pierce,,336112 - Light Truck and Utility Vehicle Manufacturing,500000.0,1000000.0
FY19,,DEPARTMENT WIDE MICROSOFT ENTERPRISE LICENSE AGREEMENT,IRM/BMP/GRP/SM,Recompete,CDWG,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$500M,USA,Heather Stier,,541519 - Other Computer Related Services,500000000.0,
FY19,,DEPARTMENT WIDE ORACLE UNLIMITED LICENSE AGREEMENT,IRM/BMP/GRP/SM,Recompete,Mythics,Competitive - Full and Open,Base + 2 Option Periods (3yrs),Quarter 2 (Jan-Mar),>$10M and <$20M,USA,Heather Stier,,541519 - Other Computer Related Services,10000000.0,20000000.0
FY19,,CITRIX - ENTERPRISE WIDE AGREEMENT (ELA),IRM/BMP/GRP/SM,Recompete,FEDBIZ IT Solutions LLC,Competitive - Full and Open,Base Option Period (1yr),Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Michael Ishmael,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY19,,CLOUD SOFTWARE LICENSING (SERVICENOW),IRM/BMP/OCA,New,Carasoft,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$10M and <$20M,USA,Blair Townsend,,541519 - Other Computer Related Services,10000000.0,20000000.0
FY19,,CLOUD SOFTWARE LICENSING (SALEFORCE),IRM/BMP/OCA,New,Carasoft,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$5M and <$10M,USA,Blair Townsend,,541519 - Other Computer Related Services,5000000.0,10000000.0
FY19,,OCA FRONT OFFICE SUPPORT,IRM/BMP/OCA,New,Acuity,8(a) Competitive,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),>$500K and <$1M,USA,Blair Townsend,,541611 - Administrative Management and General Management Consulting Services,500000.0,1000000.0
FY19,,"PROGRAM SUPPORT: THIS IS AN EXECUTIVE ASSISTANT POSITION TO THE SWP CHIEF.  DUTIES INCLUDE MAINTAINING THE CHIEF’S CALENDAR, SETTING APPOINTMENTS, AND HANDLING OTHER LOGISTICS THROUGH PHONE AND EMAIL.",IRM/BMP/SWP,Recompete,Belcan (Vanguard 222),Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$150K and <$500K,USA,Edna Vega,,541611 - Administrative Management and General Management Consulting Services,150000.0,500000.0
FY19,,"RECRUITMENT STAFF SUPPORT: THE POSITION WOULD WORK AS A MEMBER OF THE SWP OUTREACH TEAM, TO HELP SWP REGISTER FOR OUTREACH/RECRUITING EVENTS, ATTEND OUTREACH EVENTS TO SOCIALIZE IT JOB OPPORTUNITIES AT THE DEPARTMENT, AND REVIEW CANDIDATE INFORMATION.",IRM/BMP/SWP,New,,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$150K and <$500K,USA,Edna Vega,,561110 - Office Administrative Services,150000.0,500000.0
FY19,,DATA & KNOWLEDGE MANAGEMENT EXPERT,IRM/BMP/SWP,New,,New Procurement,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$150K and <$500K,USA,Edna Vega,,541512 - Computer Systems Design Services,150000.0,500000.0
FY19,,"IT CCB SUPPORT, ENTERPRISE LICENSING, A/V OPERATIONS/PURCHASING, VTC, HARDWARE TECH SECURITY - (2.2.2 FMS ADMIN SUPPORT)",IRM/FO/ITI,Recompete,Modulant,Competitive - Full and Open,Base + 6 Option Periods (7yrs),Quarter 3 (Apr-Jun),>$1M and <$5M,USA,Heather Steir,,519190 - All Other Information Services,1000000.0,5000000.0
FY19,,GITM STORAGE/UPS/SERVER IDIQ CONTRACT (CORE EQUIPMENT),IRM/FO/ITI/GITM,Recompete,Multiple Vendors,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),>$50M and <$100M,USA,Douglas Towns,,334112 - Computer Storage Device Manufacturing,50000000.0,100000000.0
FY19,,"HARDWARE LOGISTICS, SHIPPING, WAREHOUSING (2.2.3)",IRM/FO/ITI/GITM,Recompete,DynCorp,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$100M and <$500M,USA,Douglas Towns,,519190 - All Other Information Services,100000000.0,500000000.0
FY19,,CNR/ECP ENTERPRISE CONVERGED PLATFORM: HIGH AVAIL COMPUTING SOLUTION FOR SOFTWARE ON HIGHLY REDUNDANT CONVERGED INFRASTRUCTURE + RAPID DEPLOYMENT CYCLE W REMOTE INSTALL. CLASSNET REGIONALIZATION: CONSOLIDATES CLASSIFIED RESOURCES INTO HUB DATACENTERS,IRM/FO/ITI/GITM,New,Acuity,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$5M and <$10M,USA,Douglas Towns,,519190 - All Other Information Services,5000000.0,10000000.0
FY19,,"PURCHASE AND INSTALLATION OF TELEPHONE SYSTEMS FOR OBO NEC'S AND REPLACEMENTS, AS WELL AS TECHNICAL SUPPORT, AND SPARE PARTS FOR OVERSEAS POSTS",IRM/FO/ITI/LWS,Recompete,AT&T,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$100M and <$500M,USA,Celeste Puhak,,517919 - All Other Telecommunications,100000000.0,500000000.0
FY19,,US RADIO CONTRACT COTS HARDWARE,IRM/FO/ITI/LWS/RPB,Recompete,Kenwood,8(a) Competitive,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$50M and <$100M,USA,Stacie M. Noble,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,50000000.0,100000000.0
FY19,,ENTRUST  PKI SOFTWARE,IRM/FO/ITI/SI,New,Entrust,Sole Source,Base Option Period (1yr),Quarter 3 (Apr-Jun),>$500K and <$1M,USA,Paul Newton,,511210 - Software Publishers,500000.0,1000000.0
FY19,,SAFENET PKI SOFTWARE,IRM/FO/ITI/SI,New,SafeNet,Sole Source,Base Option Period (1yr),Quarter 3 (Apr-Jun),>$500K and <$1M,USA,Paul Newton,,511210 - Software Publishers,500000.0,1000000.0
FY19,,WINMAGIC SOFTWARE MAINTENANCE PKI SOFTWARE,IRM/FO/ITI/SI,New,WinMagic,Sole Source,Base Option Period (1yr),Quarter 3 (Apr-Jun),>$150K and <$500K,USA,Paul Newton,,511210 - Software Publishers,150000.0,500000.0
FY19,,TREND MICRO ANTI VIRUS,IRM/FO/ITI/SI,New,Trend Micro,Sole Source,Base Option Period (1yr),Quarter 4 (Jul-Sep),>$150K and <$500K,USA,Valerie Miller,,511210 - Software Publishers,150000.0,500000.0
FY19,,SYMANTEC INSIGHT FOR PRIVATE CLOUDS ANTI VIRUS,IRM/FO/ITI/SI,New,Symantec,Sole Source,Base Option Period (1yr),Quarter 4 (Jul-Sep),>$150K and <$500K,USA,Valerie Miller,,511210 - Software Publishers,150000.0,500000.0
FY19,,"CARDS (C ACCOUNTING, REPORTING AND DISTRIPUTION SYSTEM) SUPPORT",IRM/FO/ITI/SI,Recompete,Aquarian Systems Inc,Competitive - Full and Open,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),>$5M and <$10M,USA,Courtney Walker,,519190 - All Other Information Services,5000000.0,10000000.0
FY19,,PKI SOFTWARE SUPPORT,IRM/FO/ITI/SI,New,Gemalto Intercede,Sole Source,Base Option Period (1yr),Quarter 3 (Apr-Jun),>$150K and <$500K,USA,Paul Newton,,511210 - Software Publishers,150000.0,500000.0
FY19,,"IT CCB SUPPORT, ENTERPRISE LICENSING, A/V OPERATIONS/PURCHASING, VTC, HARDWARE TECH SECURITY (2.2.2)",IRM/FO/ITI/TSS,Recompete,Multiple Vendors,Competitive - Full and Open,Base + 5 Option Periods (6yrs),Quarter 4 (Jul-Sep),>$500K and <$1M,USA,Heather Steir,,519190 - All Other Information Services,500000.0,1000000.0
FY19,,ANTI VIRUS LABOR (2.2.2),IRM/FO/ITI/TSS,Recompete,Intercom Federal Systems,Competitive - Full and Open,Base + 5 Option Periods (6yrs),Quarter 4 (Jul-Sep),>$5M and <$10M,USA,Heather Steir,,541611 - Administrative Management and General Management Consulting Services,5000000.0,10000000.0
FY19,,RIMC BANGKOK PURCHASING EQUIPMENT FOR IT TECHNICIANS,IRM/FO/RIMC,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$250K and <$500K,THAILAND,Patsy Saisuwan,,423710 - Hardware Merchant Wholesalers,250000.0,500000.0
FY19,,RIMC FRANKFURT PURCHASING CISCO CAA REGIONAL PBX,IRM/FO/RIMC,New,,New Procurement,Less than 12 Months,Quarter 3 (Apr-Jun),>$150K and <$500K,WORLDWIDE,Patsy Saisuwan,,423690 - Other Electronic Parts and Equipment Merchant Wholesalers,150000.0,500000.0
FY19,,GOVERNANCE REPORTING AND COMPLAINCE,IRM/IA,Recompete,,(Pick One),[Select from Drop-Down or Type Appropriate Timeframe],Quarter 4 (Jul-Sep),>$1M and <$5M,USA,CChandler,,(Pick One),1000000.0,5000000.0
FY19,,ANTI-PHISHING SOLUTION,IRM/IA,Recompete,,(Pick One),[Select from Drop-Down or Type Appropriate Timeframe],Quarter 3 (Apr-Jun),>$150K and <$500K,USA,CChandler,,(Pick One),150000.0,500000.0
FY19,,CONSOLIDATED BUREAU TIER I & TIER II IT SERVICES SUPPORT,IRM/OPS/CCS,Recompete,DMI,8(a) Competitive,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),>$100M and <$500M,USA,Patrick Watkins,,541519 - Other Computer Related Services,100000000.0,500000000.0
FY19,,DELL ACTIVEROLES MAINTENANCE,IRM/OPS/ENM,New,Dell,New Procurement,Base Option Period (1yr),Quarter 1 (Oct-Dec),>$150K and <$500K,USA,Kimberly Baltimore,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,150000.0,500000.0
FY19,,EXPRESSROUTE AZURE DATA CREDITS CY 2018,IRM/OPS/ENM,New,Microsoft,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$500K and <$1M,USA,Kimberly Baltimore,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,500000.0,1000000.0
FY19,,1E NIGHTWATCHMAN MAINTENANCE,IRM/OPS/ENM,New,1E Inc,New Procurement,Base Option Period (1yr),Quarter 3 (Apr-Jun),>$150K and <$500K,USA,Kimberly Baltimore,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,150000.0,500000.0
FY19,,HEWLETT PACKARD NETWORK AUTOMATION (HPNA) FY18 MAINTENANCE,IRM/OPS/ENM,New,Carahsoft,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$500K and <$1M,USA,Kimberly Baltimore,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,500000.0,1000000.0
FY19,,NEURALSTAR FY18 MAINTENANCE,IRM/OPS/ENM,New,Kratos,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$500K and <$1M,USA,Kimberly Baltimore,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,500000.0,1000000.0
FY19,,NIKSUN (NETVCR) MAINTENANCE,IRM/OPS/ENM,New,iGov.com,New Procurement,Base Option Period (1yr),Quarter 4 (Jul-Sep),>$150K and <$500K,USA,Kimberly Baltimore,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,150000.0,500000.0
FY19,,A10 SERVICE & TECHNICAL ACCOUNT MANAGER,IRM/OPS/ENM,New,Affigent,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$500K and <$1M,USA,Kimberly Baltimore,,541519 - Other Computer Related Services,500000.0,1000000.0
FY19,,CISCO ESA SERVICE & TIER IV VENDOR SUPPORT,IRM/OPS/ENM,New,Iron Bow Technologies,New Procurement,Base Option Period (1yr),Quarter 1 (Oct-Dec),>$500K and <$1M,USA,Kimberly Baltimore,,541519 - Other Computer Related Services,500000.0,1000000.0
FY19,,FORCEPOINT SERVICE,IRM/OPS/ENM,New,"Braxton-Grant Technologies, Inc",New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$150K and <$500K,USA,Kimberly Baltimore,,541519 - Other Computer Related Services,150000.0,500000.0
FY19,,PALO ALTO NETWORK SERVICE & TECHNICAL ACCOUNT MANAGER,IRM/OPS/ENM,New,Affigent,New Procurement,Base Option Period (1yr),Quarter 1 (Oct-Dec),>$1M and <$5M,USA,Kimberly Baltimore,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY19,,MICROSOFT AZURE ATP AND ADP,IRM/OPS/ENM,New,Microsoft,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$1M and <$5M,USA,Kimberly Baltimore,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,1000000.0,5000000.0
FY19,,BROMIUM LICENSE RENEWAL,IRM/OPS/ENM,New,SAIC,New Procurement,Base Option Period (1yr),Quarter 4 (Jul-Sep),>$500K and <$1M,USA,Kimberly Baltimore,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,500000.0,1000000.0
FY19,,DOMESTIC CIRCUITS: ESOC EAST TERREMARK CIRCUIT,IRM/OPS/ENM,New,Terremark,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$150K and <$500K,USA,Kimberly Baltimore,,517110 - Wired Telecommunications Carriers,150000.0,500000.0
FY19,,DOMESTIC CIRCUITS: ESOC WEST AT&T CIRCUIT,IRM/OPS/ENM,New,AT&T,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$500K and <$1M,USA,Kimberly Baltimore,,517110 - Wired Telecommunications Carriers,500000.0,1000000.0
FY19,,DOMESTIC CIRCUITS: BIMC AT&T CIRCUIT,IRM/OPS/ENM,New,AT&T,New Procurement,Base Option Period (1yr),Quarter 1 (Oct-Dec),>$150K and <$500K,USA,Kimberly Baltimore,,517110 - Wired Telecommunications Carriers,150000.0,500000.0
FY19,,VSAT CIRCUITS,IRM/OPS/ENM,New,SAIC,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$500K and <$1M,USA,Kimberly Baltimore,,517410 - Satellite Telecommunications,500000.0,1000000.0
FY19,,ENTERPRISE DATA AGGREGATION AND ANALYTICS - SPLUNK,IRM/OPS/ENM,New,,8(a) Competitive,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$5M and <$10M,USA,Kimberly Baltimore,,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,5000000.0,10000000.0
FY19,,MSO- LABOR- ACUITY (MRA),IRM/OPS/MSO,New,,8(a) Sole Source,Base + 2 Option Periods (3yrs),Quarter 2 (Jan-Mar),>$1M and <$5M,USA,Haar Sandhu,,(Pick One),1000000.0,5000000.0
FY19,,MSO- MRA (HW) EMD ,IRM/OPS/MSO,New,,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$1M and <$5M,USA,Haar Sandhu,,(Pick One),1000000.0,5000000.0
FY19,,"MSO- MRA- (SW) SAMSUNG KNOX - PLATFORM AND KNOX CONFIGURE LICENSES AND SUPPORT SERVERS (10,000 LICENSES)",IRM/OPS/MSO,New,,New Procurement,[Select from Drop-Down or Type Appropriate Timeframe],Quarter 1 (Oct-Dec),>$500K and <$1M,USA,Haar Sandhu,,(Pick One),500000.0,1000000.0
FY19,,"MSO- MRA- (HW) AIRWATCH - DEVELOPMENT, MODERNIZATION, AND ENHANCEMENT",IRM/OPS/MSO,New,,New Procurement,Base Option Period (1yr),Quarter 3 (Apr-Jun),>$150K and <$500K,USA,Haar Sandhu,,(Pick One),150000.0,500000.0
FY19,,"MSO-MRA (SW) AIRWATCH - VMWARE LICENSES (+25,000 PSO CREDITS)- URF",IRM/OPS/MSO,New,,New Procurement,[Select from Drop-Down or Type Appropriate Timeframe],Quarter 2 (Jan-Mar),>$1M and <$5M,USA,Haar Sandhu,,(Pick One),1000000.0,5000000.0
FY19,,"MSO-MRA (SW) AIRWATCH - MYID DEVICE LICENSES (40,000 LICENSES)- UFR",IRM/OPS/MSO,New,,New Procurement,[Select from Drop-Down or Type Appropriate Timeframe],Quarter 2 (Jan-Mar),>$500K and <$1M,USA,Haar Sandhu,,(Pick One),500000.0,1000000.0
FY19,,MSO-MRA (HW) LAB EMD GLOBAL PROTECT FIREWALL/PALO ALTO LIFECYCLE HARDWARE REFRESH- UFR,IRM/OPS/MSO,New,,New Procurement,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$150K and <$500K,USA,Haar Sandhu,,(Pick One),150000.0,500000.0
FY19,,MSO-MRA (HW) ESOC WEST GLOBAL PROTECT FIREWALL/PALO ALTO MAINTENANCE RENEWAL- UFR,IRM/OPS/MSO,New,,New Procurement,Base Option Period (1yr),Quarter 4 (Jul-Sep),>$150K and <$500K,USA,Haar Sandhu,,(Pick One),150000.0,500000.0
FY19,,MSO-MD (HW/SW) ISSE NEXTGEN GUARD (REFRESH)- UFR,IRM/OPS/MSO,New,,(Pick One),[Select from Drop-Down or Type Appropriate Timeframe],Quarter 2 (Jan-Mar),>$1M and <$5M,USA,Kevin Gatlin ,,(Pick One),1000000.0,5000000.0
FY19,,IBM MAINFRAME LEGACY SUPPORT,IRM/OPS/SIO,Recompete,IBM,Competitive - Full and Open,Base Option Period (1yr),Quarter 1 (Oct-Dec),>$500K and <$1M,USA,Tony Collins,,541519 - Other Computer Related Services,500000.0,1000000.0
FY19,,NETAPP 2018-2019 (MAINTENANCE RENEWAL),IRM/OPS/SIO,Recompete,FCN-IT,Set Aside,Base Option Period (1yr),Quarter 3 (Apr-Jun),>$1M and <$5M,USA,Johnny Williamson,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY19,,VBLOCK HA/DR MAINTENANCE RENEWAL,IRM/OPS/SIO,Recompete,Thunder Cat Technology,Set Aside,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$5M and <$10M,USA,Yang Kim,,541519 - Other Computer Related Services,5000000.0,10000000.0
FY19,,VREALIZE YEARLY MAINTENANCE (CLOUD),IRM/OPS/SIO,Recompete,CDW-G,Set Aside,Base Option Period (1yr),Quarter 4 (Jul-Sep),>$250K and <$500K,USA,Mark Benjapathmongkol,,541519 - Other Computer Related Services,250000.0,500000.0
FY19,,DELL/DATA DOMAIN MAINTENANCE RENEWAL,IRM/OPS/SIO,Recompete,JTEK DATA SOLUTIONS,Set Aside,Base Option Period (1yr),Quarter 4 (Jul-Sep),>$250K and <$500K,USA,Mark Benjapathmongkol,,541519 - Other Computer Related Services,250000.0,500000.0
FY19,,TRIPWIRE MAINTENANCE RENEWAL,IRM/OPS/SIO,Recompete,FCN-IT,Set Aside,Base Option Period (1yr),Quarter 4 (Jul-Sep),>$250K and <$500K,USA,Reggie Burris,,541519 - Other Computer Related Services,250000.0,500000.0
FY19,,VMWARE LICENSES AND MAINT (BPA) RENEWAL PER SSL,IRM/OPS/SIO,Recompete,Carahsoft Technology,Set Aside,Base Option Period (1yr),Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Mark Benjapathmongkol,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY19,,SMARTBUY ORACLE SUPPORT MAINT RENEW 1 YR EXP NOV 18,IRM/OPS/SIO,Recompete,Mythics,Set Aside,Base Option Period (1yr),Quarter 1 (Oct-Dec),>$250K and <$500K,USA,Bill Freestone,,541519 - Other Computer Related Services,250000.0,500000.0
FY19,,BMC REMEDY,IRM/OPS/SIO,Recompete,BAH FED,Set Aside,Base Option Period (1yr),Quarter 3 (Apr-Jun),>$500K and <$1M,USA,Bill Freestone,,541519 - Other Computer Related Services,500000.0,1000000.0
FY19,,AVEPOINT LICENSES SUPPORT RENEWAL,IRM/OPS/SIO,Recompete,Carahsoft Technology,Set Aside,Base Option Period (1yr),Quarter 4 (Jul-Sep),>$1M and <$5M,USA,Bill Freestone,,541519 - Other Computer Related Services,1000000.0,5000000.0
FY19,,"SIO APPLICATION SERVICES, WHICH WILL PROVIDE FULL LIFECYCLE SOFTWARE DEVELOPMENT FOR COTS AND GOTS APPLICATIONS (FORMERLY VANGUARD 2.3.5)",IRM/OPS/SIO,New,,Set Aside,Base Option Period (1yr),Quarter 2 (Jan-Mar),>$20M and <$50M,USA,Andy Black,,541519 - Other Computer Related Services,20000000.0,50000000.0
FY19,,NLCIFT HAS THE ABILITY TO PROVIDE THE NEEDED ASSISTANCE BASED ON L/PIL’S SOW ,L/PIL,Recompete,National Law Center,8(a) Sole Source,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),>$150K and <$500K,USA,Michael S. Coffee,,541199 - All Other Legal Services,150000.0,500000.0
FY19,,ADANA GAZIANTEP OFFICE LFO - PHASE 2 DESIGN/BUILD AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 3 (Apr-Jun),>$1M and <$5M,ADANA,Eddie Schaeffer,,236220 - Commercial and Institutional Building Construction,1000000.0,5000000.0
FY19,,APIA PHOTOVOLTAIC INSTALLATION  DESIGN/BUILD AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 3 (Apr-Jun),>$150K and <$500K,APIA,Andrew Tarnowka,,236220 - Commercial and Institutional Building Construction,150000.0,500000.0
FY19,,ASMARA COMPOUND SECURITY UPGRADE DESIGN/BUILD AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 2 (Jan-Mar),>$10M and <$20M,ASMARA,Thomas Eckert,,236220 - Commercial and Institutional Building Construction,10000000.0,20000000.0
FY19,,BAGHDAD BDSC WATER LINE REPLACEMENT DESIGN/BUILD AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 2 (Jan-Mar),>$5M and <$10M,BAGHDAD,Lynne Theiss,,236220 - Commercial and Institutional Building Construction,5000000.0,10000000.0
FY19,,BAGHDAD BDSC HOSPITAL OVERHEAD COVER DESIGN/BUILD AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 4 (Jul-Sep),>$10M and <$20M,BAGHDAD,Bassem Houssami,,236220 - Commercial and Institutional Building Construction,10000000.0,20000000.0
FY19,,BANGKOK REGIONAL POUCH FACILITY DESIGN/BUILD AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 4 (Jul-Sep),>$5M and <$10M,BANGKOK,Mark Prahl,,236220 - Commercial and Institutional Building Construction,5000000.0,10000000.0
FY19,,BASRAH TOWER RELOCATION CONSTRUCTION AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 1 (Oct-Dec),>$1M and <$5M,BASRAH,Lynne Theiss,,236220 - Commercial and Institutional Building Construction,1000000.0,5000000.0
FY19,,BELO HORIZONTE CA INITIATIVE CONSTRUCTION AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 3 (Apr-Jun),>$20M and <$50M,BELO HORIZONTE,Kevin Morris,,236220 - Commercial and Institutional Building Construction,20000000.0,50000000.0
FY19,,BOGOTA CA RENOVATION DESIGN/BUILD AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 3 (Apr-Jun),>$5M and <$10M,BOGOTA,Mark Lescher,,236220 - Commercial and Institutional Building Construction,5000000.0,10000000.0
FY19,,BUENOS AIRES MAJOR REHAB / CA RENOVATION DESIGN/BUILD AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 4 (Jul-Sep),>$20M and <$50M,BUENOS AIRES,Doug Noumbissi,,236220 - Commercial and Institutional Building Construction,20000000.0,50000000.0
FY19,,CANBERRA MSGR ADDITION  DESIGN/BUILD AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 3 (Apr-Jun),>$500K and <$1M,CANBERRA,Thomas Eckert,,236220 - Commercial and Institutional Building Construction,500000.0,1000000.0
FY19,,CASABLANCA NCC DESIGN/BUILD AWARD,M/OBO/PDCS/PDC,New,,Competitive - Full and Open,Base + 9 Option Periods (10yrs),Quarter 4 (Jul-Sep),>$100M and <$500M,CASABLANCA,Dan Replogle,,236220 - Commercial and Institutional Building Construction,100000000.0,500000000.0
FY19,,CHENNAI NEW MSG DETACHMENT  CONSTRUCTION AWARD,M/OBO/PDCS/PDC,New,,Set Aside,Base + 9 Option Periods (10yrs),Quarter 1 (Oct-Dec),>$150K and <$500K,CHENNAI,Tariq Farooqi,,236220 - Commercial and Institutional Building Construction,150000.0,500000.0
FY19,,CHIANG MAI NCC DESIGN/BUILD AWARD,M/OBO/PDCS/PDC,New,,Competitive - Full and Open,Base + 9 Option Periods (10yrs),Quarter 4 (Jul-Sep),>$100M and <$500M,CHIANG MAI,Andrew Tarnowka,,236220 - Commercial and Institutional Building Construction,100000000.0,500000000.0
